Company Name,Ticker,Market Cap (mil),Last EPS Surprise (%),Div. Yield %,Exchange,Month of Fiscal Yr End,Sector,Industry,F2 Consensus Est.,F1 Consensus Est.,F0 Consensus Est.,P/E (Trailing 12 Months),P/E (F1),P/E (F2),PEG Ratio,Price/Cash Flow,Price/Book,Price/Sales,Next EPS Report Date  (yyyymmdd),Current ROE (TTM),5 Yr Historical Sales Growth,F(1) Consensus Sales Est. ($mil),Annual Sales ($mil),EBITDA ($mil),EBIT ($mil),Net Margin %,Operating Margin 12 Mo %,Debt/Total Capital,Debt/Equity Ratio,Current Ratio,Quick Ratio,Avg Volume,52 Week High,52 Week Low,Beta,% Price Change (YTD),Dividend ,Current Assets  ($mil),Current Liabilities ($mil),Long Term Debt ($mil),Shares Outstanding (mil)
"Agilent Technologies","A","39777.81","4.58",".67","NYSE","10","Computer and Technology","Electronics - Testing Equipment","6.22","5.68","5.07","25.05","23.69","21.61","1.97","21.16","7.09","5.74","20230523","30.35","8.78","7074.27685","6848","1905","1588","19.09","23.13","32.762",".48725","2.11","1.47","1354795","159.06","112.71","1.03","-10.11",".9","3778","1861","2733","295.7"
"Alcoa","AA","6363.69","-360","1.12","NYSE","12","Industrial Products","Metal Products - Distribution","5.49",".79","4.63","25.31","45.17","6.5","4.35","4.19","1.01",".54","20230719","4.02","-.23","10689.27734","12451","1425","808","-6.78","2.3","22.291",".28684","1.78",".94","4530590","67.96","33.66","2.43","-21.53",".4","5250","3004","1806","178.35"
"AIA","AAGIY","125273.19","",".84","OTC","12","Finance","Insurance - Life Insurance","2.81","2.38","2.19","","18.08","15.31","","17.52","3.11","","","","","","19110","8825","8825","","","","","","","210774","47.82","29.58",".54","-3.15",".36","11568","239812","9588","2911.3"
"American Airlines","AAL","8989.92","25","0","NSDQ","12","Transportation","Transportation - Airline","3.24","2.86",".48","5.16","4.81","4.24","","3.41","",".17","20230720","-26.84","-4.19","53218.09765","48971","4446","2148","3.39","3.58","","-5.47323",".72",".6","30098090","19.62","11.86","1.53","8.25","0","15269","21496","32389","652.86"
"AAON","AAON","5311.87","29.09",".24","NSDQ","12","Construction","Building Products - Air Conditioner and Heating","3.28","2.68","1.7","53.05","36.62","29.92","","38.43","9.31","5.98","20230504","19.54","12.61","","888.79","160.00599","124.53299","11.29","11.29","11.23999",".12663","2.4","1.03","313546","99.46","47.93",".79","30.3",".24","349.11599","145.567","71.00399","54.13"
"Advance Auto Parts","AAP","7357.06","19.5","4.83","NYSE","12","Retail-Wholesale","Automotive - Retail and Wholesale - Parts","11.54","10.63","12.57","9.53","11.67","10.75","1.02","6.94","2.79",".66","20230522","28.53","4.39","11436.5791","11154.72","983.54699","699.747","4.5","7.1","30.732",".44367","1.13",".21","1009654","216.26","110.83","1.1","-15.58","6","6046.85205","5370.38916","1188.28295","59.27"
"Apple","AAPL","2666630.75","-2.59",".55","NSDQ","9","Computer and Technology","Computer - Mini computers","6.66","6.01","6.11","28.61","28.03","25.31","2.24","24.17","47.01","6.88","20230504","163.45","11.84","387990.09375","394328","130207","119103","24.56","24.56","63.719","1.75625",".94",".85","48371028","174.55","125.02","1.29","29.72",".92","135405","153982","98959","15821.95"
"AllianceBernstein","AB","3835.1","4.76","8.31","NYSE","12","Finance","Financial - Investment Management","3.08","2.79","2.82","12.44","12.1","10.94","1.11","12.8","1.87",".97","20230804","15.96","6.55","3502.30004","4054.29","305.50399","305.50399","6.44","7.19","0","0","","","260136","45.27","32.31","1.34","-1.95","2.8","0","0","0","113.8"
"ABB","ABB","70750.47","40","1.55","NYSE","12","Industrial Products","Manufacturing - Electronics","1.8","1.62","1.22","23.08","22.23","20.01","3.59","21.24","5.51","2.33","20230720","23.19","-3.08","30144.94531","29446","4338","3524","9.58","9.7","28.957",".4076","1.15",".82","1666799","36.64","24.3","1.11","18.22",".56","19570","16529","5143","1964.74"
"AbbVie","ABBV","267479.19",".82","3.9","NYSE","12","Medical","Large Cap Pharmaceuticals","11.02","10.96","13.73","11.58","13.83","13.75","2.77","8.11","15.51","4.71","20230804","147.43","18.07","52521.16015","58054","23988","15521","13.37","41.57","77.37999","3.42077",".96",".84","5096150","166.55","134.21",".58","-6.18","5.92","28463","29538","59135","1764.14"
"AmerisourceBergen","ABC","34214","6.38","1.15","NYSE","9","Medical","Medical - Dental Supplies","12.47","11.66","11","14.8","14.51","13.57","1.66","11.24","66.94",".14","20230802","809.53","9.06","251600.25","238587","3184.44702","2393.72998",".65",".96","90.12799","9.1297",".89",".55","866970","173.99","135.33",".52","2.08","1.94","39589.76171","43477.94921","4632.35986","202.26"
