Company Name,Ticker,Market Cap (mil),Last EPS Surprise (%),Div. Yield %,Exchange,Month of Fiscal Yr End,Sector,Industry,F2 Consensus Est.,F1 Consensus Est.,F0 Consensus Est.,P/E (Trailing 12 Months),P/E (F1),P/E (F2),PEG Ratio,Price/Cash Flow,Price/Book,Price/Sales,Next EPS Report Date  (yyyymmdd),Current ROE (TTM),5 Yr Historical Sales Growth,F(1) Consensus Sales Est. ($mil),Annual Sales ($mil),EBITDA ($mil),EBIT ($mil),Net Margin %,Operating Margin 12 Mo %,Debt/Total Capital,Debt/Equity Ratio,Current Ratio,Quick Ratio,Avg Volume,52 Week High,52 Week Low,Beta,% Price Change (YTD),Dividend ,Current Assets  ($mil),Current Liabilities ($mil),Long Term Debt ($mil),Shares Outstanding (mil)
"AmerisourceBergen","ABC","31635.17","3.44","1.24","NYSE","9","Medical","Medical - Dental Supplies","12.45","11.61","11","14.03","13.47","12.56","1.54","10.39","429.99",".13","20230503","597.57","9.06","251600.25","238587","3184.44702","2393.72998",".72",".97","98.44499","63.29652",".91",".55","1289188","173.99","135.33",".54","-5.61","1.94","39589.76171","43477.94921","4632.35986","202.26"
"Ambev","ABEV","41388.72","50","4.66","NYSE","12","Consumer Staples","Beverages - Alcohol",".2",".17",".15","14.61","15.94","13.15","1.69","10.12","2.56","2.68","20230504","17.42","-.1","16719.52929","15438.08","4574.26416","3420.52905","18.11","18.83","3.2376",".03345",".93",".61","22094740","3.29","2.44","1.02","-3.31",".12","7325.09521","7852.69482","540.05499","15737.16"
"Asbury Automotive Group","ABG","4301.83","10.81","0","NYSE","12","Retail-Wholesale","Automotive - Retail and Whole Sales","30.54","30.41","37.12","5.27","6.52","6.5",".35","4.74","1.51",".28","20230427","33.22","17.8","14358.30566","15433.8","1563.40002","1479.69995","6.46","5.46","52.56","1.1079","1.85",".92","283547","243.13","141.06","1.14","10.66","0","1909.80004","1033.40002","3216.80004","21.69"
"Airbnb","ABNB","74890.65","77.78","0","NSDQ","12","Computer and Technology","Internet - Content","4.04","3.38","2.59","41.76","34.64","28.93","1.86","37.37","13.27","8.92","20230502","35.92","","9648.93945","8399","2094","2013","22.54","22.54","26.32799",".35737","1.86","1.86","5242236","177.02","82.49","1.15","36.75","0","14861","7978","1987","640.53"
"Abbott Laboratories","ABT","170405.61","14.44","2.08","NYSE","12","Medical","Medical - Products","4.81","4.38","5.21","18.36","22.38","20.4","4.4","13.43","4.63","3.9","20230419","26.09","11.28","39735.1914","43653","12131","8864","15.88","21.68","28.238",".39349","1.63","1.23","5698751","123.37","95.06",".68","-10.69","2.04","25224","15489","14522","1737.95"
"Air Canada","ACDVF","4730.97","-542.86","0","OTC","12","Transportation","Transportation - Airline","1.78",".63","-2.56","","20.95","7.42","","","",".37","20230425","","-19.47","","12734.76","-1289.40699","-2578.81299","-10.55","-8.37","","-8.18178","1.13","","34242","19.74","12.03","1.95","-8.46","0","8021.28906","5524.66015","12376.23046","358.41"
"Agri Bank China","ACGBY","127533.81","","7.07","OTC","12","Finance","Banks - Foreign","","","","3.49","","","","3.15",".33",".69","20230329","10.07","13.21","","178523","58251.48046","55165.27343","20.98","35.32","41.762",".71709","1.18","","18380","9.84","7.08",".23","7.81",".64","4066401","3517008","233686.79687","13999.32"
"Arch Capital Group","ACGL","24517.56","59.7","0","NSDQ","12","Finance","Insurance - Property and Casualty","6.94","6.11","4.07","13.59","10.82","9.51","1.08","12.29","2.02","2.58","20230426","15.93","14.48","12342.51367","9614.81","1724.95898","1618.75903","15.34","18.33","17.986",".23347",".56",".56","2741345","71.7","41.67",".74","5.21","0","17041.48046","30632.8496","2820.45092","371.2"
"Acadia Healthcare","ACHC","6406.66","-5.41","0","NSDQ","12","Medical","Medical - Hospital","3.67","3.3","3.08","23.31","21.28","19.14","1.49","16.1","2.27","2.45","20230502","10.19","-5.47","2848.50292","2610.4","564.93298","443.90301","10.46","10.53","34.05899",".48513","1.3","1.3","816941","89.06","63.69","1.31","-14.77","0","506.125","388.32598","1364.54101","91.32"
"Albertsons Companies","ACI","10816.13","29.85","2.38","NYSE","2","Consumer Staples","Consumer Products - Staples","3.2","3.1","3.27","6.04","6.52","6.31","1.21","2.41","13.19",".14","20230411","60.71","6.04","79007.03906","71887","4886.60009","2581.3999","2.16","2.53","90.35299","8.65897",".8","","6201434","35.77","19.2",".57","-2.65",".48","8366.40039","8348.5","7136.2998","535.72"
"Axcelis Technologies","ACLS","4209.96","17.12","0","NSDQ","12","Computer and Technology","Electronics - Manufacturing Machinery","7.01","5.55","5.2","23.57","23.19","18.36","","21.71","6.34","4.58","20230503","30.16","17.75","982.40002","920","222.06799","210.46099","19.9","19.9","6.34229",".06771","3.54","2.56","722065","133.45","47.95","1.72","62.16","0","877.64501","248.132","45.185","32.71"
"AECOM","ACM","11279.96","4.88",".89","NYSE","9","Construction","Engineering - R and D Services","4.42","3.67","3.42","23.6","22.12","18.38","2.01","17.02","4.19",".85","20230508","18.5","-11.23","13661.26953","13148.18","831.84197","660.95599","2.54","3.67","44.449",".80015","1.08","1.08","1497395","91.11","61.26","1.3","-4.42",".72","5822.81005","5404.17089","2156.68603","138.95"
"Accenture","ACN","171425.02","8.03","1.65","NYSE","8","Business Services","Consulting Services","12.39","11.45","10.69","24.37","23.76","21.95","2.5","19.13","7.01","2.71","20230622","30.73","9.5","63855.28125","61594.3","11331.70312","9243.4873","11","11.3",".18429",".00184","1.29","1.23","2834269","344.47","246.17","1.25","1.93","4.48","21610.86914","17523.5","45.893","630.24"
"Enact Holdings","ACT","3627.78","-2.17","2.51","NSDQ","12","Finance","Insurance - Multi line","3.4","3.26","4.36","5.14","6.86","6.56","","5.05",".89","3.31","20230502","17.34","","1165.01","1095.05","961.57702","949.92102","64.3","64.7","15.336",".18113",".82",".82","122295","27.66","20.92",".67","-7.46",".56","594.40399","721.72497","742.83001","162.54"
"","ACWI","17946.63","","1.73","NSDQ","12","Finance","Financial - Investment Funds","","","","","","","","","","","","","","","","","","","","","","","","3378101","101.98","77.52",".93","3.75","1.52","","","","203.8"
"Adobe","ADBE","171947.66","3.83","0","NSDQ","11","Computer and Technology","Computer - Software","17.34","15.4","13.62","26.5","24.35","21.63","1.82","28.96","12.1","9.55","20230615","36.53","18.54","19216.42187","17606","6976","6120","26.32","36.67","20.35199",".25552","1.12","1.11","4109302","468.81","275.2","1.27","11.42","0","8996","8128","3629","458.58"
"Agree Realty","ADC","6049.71","0","4.29","NYSE","12","Finance","REIT and Equity Trust - Retail","3.73","3.93","3.86","17.38","17.07","17.99","3.5","18.37","1.33","14.08","20230502","4.18","31.04","528.80999","429.81","387.44198","216.47","35.47","39.23","29.527",".43543",".88",".88","837675","80.35","63.49",".46","-5.41","2.88","93.60399","106.067","1940.01794","90.17"
"Adidas","ADDYY","29164.59","8","1.62","OTC","12","Consumer Discretionary","Shoes and Retail Apparel ","1.76","-1.54",".62","110.3","","43.34","","9.48","4.44","1.23","20230505","3.93","-1.37","22377.93164","23721.71","3731.49707","2372.11499","2.88","1.17","23.09499",".3003","1.25","","159403","121.48","45.5",".98","12.36","1.24","16497.15039","10606.49023","2917.5249","383.19"
"Analog Devices","ADI","94943.55","6.18","1.83","NSDQ","10","Computer and Technology","Semiconductor - Analog and Mixed","10.9","10.6","9.43","18.05","17.7","17.22","1.45","13.09","2.6","7.55","20230517","14.69","14.86","12651.72167","12013.95","5596.65576","3299.15698","27.27","42.85","15.18999",".17911","2.12","1.45","3303662","196.18","136.73","1.14","14.42","3.44","4937.99218","2442.65502","6548.625","505.85"
"Archer Daniels Midland","ADM","41863.15","17.68","2.35","NYSE","12","Consumer Staples","Agriculture - Operations","6.26","6.74","7.54","9.77","11.37","12.23","1.78","7.72","1.73",".41","20230425","18.32","10.69","99875.64843","101848","6657","5629","4.26","4.34","24.83399",".31809","1.46",".85","3218854","98.22","71.7",".79","-17.49","1.8","35410","24191","7735","546.45"
"Adient","ADNT","3614.14","-15","0","NYSE","9","Auto-Tires-Trucks","Automotive - Original Equipment","3.92","1.95",".1","46.21","19.39","9.66","","9.96","1.44",".25","20230504","3.21","-6.3","14945.87792","14121","619","269","-.38",".56","51.573","1.04703","1.2",".92","870814","46.85","27.61","2.77","9.22","0","4163","3501","2564","95.39"
"Automatic Data Processing","ADP","88725.2",".51","2.34","NSDQ","6","Business Services","Outsourcing","9.03","8.12","6.98","28.44","26.36","23.72","2.2","19.67","29.74","5.14","20230426","96.94","5.09","17909.51367","16498.3","5457.2998","3886","18.24","18.24","50.012","1.00046",".99",".99","2315962","269.9","199.94",".81","-10.35","5","54804.89843","55158.69921","2987.10009","414.35"
"Ahold","ADRNY","32294.32","8.82","2.26","OTC","12","Consumer Staples","Consumer Products - Staples","2.84","2.69","2.57","12.11","12.15","11.51","2.56","5.43","2.01",".35","20230510","16.62","6.15","97715.92187","91662.26","7558.82617","3929.07495","2.92","2.93","22.70599",".29376",".73","","55203","33.35","24.88",".44","13.9",".74","11338.83007","16775.17968","5534.54199","987.9"
"Andritz","ADRZY","7202","","1.64","OTC","12","Industrial Products","Industrial Services","1.07",".98",".88","17.76","14.13","12.94","","10.79","3.89",".93","20230324","22.23","2.97","8376.42968","7646.89","849.82098","567.41497","5.35","5.33","35.268",".54483","1.17","","626","13.85","7.62",".77","21.44",".23","6019.14013","4942.75488","1475.79895","520"
"Autodesk","ADSK","43003.85","2.76","0","NSDQ","1","Computer and Technology","Computer - Software","8.36","7.19","6.59","30.15","27.83","23.95","1.16","40.28","37.56","8.59","20230525","105.43","19.33","5404.56005","5005","1096","946","16.44","28.9","66.579","1.99213",".84",".84","1795118","234.04","164.31","1.51","7.14","0","3341","4000","2281","214.78"
"ADT","ADT","6520.19","-52.38","1.97","NYSE","12","Industrial Products","Security and Safety Services",".7",".74",".51","28.44","9.61","10.16","","3.4","1.9","1.02","20230504","4.72","6.7","6673.00976","6395","2269.64599","502.68798","2.71","3.41","72.291","2.60891",".65",".49","3352994","9.86","6.15","1.75","-21.61",".14","1721.99597","2661.10302","8956.67089","917.04"
"Adyen","ADYEY","47625.94","","0","OTC","12","Business Services","Financial Transaction Services",".38",".28",".24","","54.89","40.99","1.98","141.06","","","20230329","","","2128.1499","6192.22","412.54501","379.91299","","","","","","","1765275","21.41","12.04","1.8","11.38","0","4268.87109","3118.42407","0","3098.63"
"Ameren","AEE","22020.92","12.5","3","NYSE","12","Utilities","Utility - Electric Power","4.65","4.35","4.07","20.3","19.33","18.06","2.82","8.58","2.04","2.77","20230504","10.5","3.14","7931.16992","7957","3200","1741","13.5","13.5","56.26599","1.28654",".79",".59","1349731","98.51","74.94",".41","-5.49","2.52","2668","3366","13685","262.03"
"Aegon","AEG","11021.63","65.52","4.52","NYSE","12","Finance","Insurance - Multi line",".77",".28","-.05","","14.71","5.35","","6.85",".71",".54","20230511","-6.45","","","22478.25","4616.45703","3235.77905","-8.08","-6.18","30.902",".44721",".09","","3073834","5.83","3.77","1.13","-18.25",".19","32986.01171","473998.3125","14025.65039","2675.15"
"Advanced Energy Industries","AEIS","3632.99","7.59",".41","NSDQ","12","Computer and Technology","Semiconductor Equipment - Wafer Fabrication","5.77","4.71","6.38","14.92","20.6","16.81","","12.51","3.4","1.97","20230503","23.65","27.33","1739.13305","1845.42","302.03698","241.74099","10.82","13.26","24.88599",".3313","3.02","2.07","209432","99.44","69.33","1.56","13.03",".4","1188.51403","393.04299","353.26199","37.47"
"Agnico Eagle Mines","AEM","23637.66","5.13","3.09","NYSE","12","Basic Materials","Mining - Gold","2.21","1.76","2.25","22.57","29.36","23.41","29.36","11.26","1.45","4.12","20230427","6.18","23.26","6004.104","5741.16","2293.04907","1198.35803","11.67","17.48","7.7107",".08354","2.3","1.03","3486072","65.8","37.54",".77","-.6","1.6","2180.05908","946.42199","1356.94604","457.39"
"American Electric Power","AEP","45828.52","6.06","3.73","NSDQ","12","Utilities","Utility - Electric Power","5.67","5.32","5.02","17.5","16.74","15.71","2.76","7.77","1.9","2.34","20230427","10.75","3.11","19507.97851","19639.5","7102.20019","3816.5","11.77","13.29","58.229","1.39398",".65",".56","3393800","105.18","81.74",".44","-6.17","3.32","9418.70019","14567.40039","33626.19921","514.41"
"Aercap","AER","12431.3","35.03","0","NYSE","12","Finance","Financial - Leasing Companies","7.95","7.56","8.31","5.58","6.66","6.33",".65","2.52",".76","1.77","20230516","14.18","5.32","7241.09179","7013.55","3312.49902","589.45001","-10.35","31.17","74.18199","2.87328",".39",".39","2401729","65.47","37.88","2","-13.72","0","1888.97204","4804.81005","46532.96093","247.04"
"AES","AES","14859.18","6.52","2.99","NYSE","12","Utilities","Utility - Electric Power","1.94","1.72","1.65","13.3","12.94","11.43","1.52","5.66","4.05","1.18","20230504","37.94","1.2","12893.64062","12617","884","-169","-3.99","12.16","82.83799","5.93016","1.18","1.01","4975118","29.27","18.91",".94","-22.77",".66","7643","6491","21740","669.03"
"Arc Resources","AETUF","6869.49","","4.03","OTC","12","Oils-Energy","Oil and Gas - Exploration and Production - Canadian","","","","4.12","","","","2.48","1.35","1.03","20230504","36.99","51.55","","6646.75","3378.86499","2365.5979","26.39","26.39","12.95199",".14879",".57",".57","51770","17.55","10.61","1.28","-17.67",".45","758.81597","1319.71594","761.50799","619.43"
"American Financial Group","AFG","10055.3","1.36","2.14","NYSE","12","Finance","Insurance - Property and Casualty","11.96","11.7","11.6","10.14","10.09","9.87","","9.19","2.48","1.43","20230503","23.52","-1.31","7191.02001","7040","1308","1208","12.76","14.07","26.965",".3692",".44",".44","451435","150.22","115.96",".84","-14.03","2.52","7106","16255","1496","85.2"
"Aflac","AFL","38464.2","6.61","2.67","NYSE","12","Finance","Insurance - Accident and Health","5.96","5.59","5.25","11.64","11.25","10.56","2.25","8.59","1.75","1.97","20230426","13.69","-.81","18480.81835","19502","5982","4830","21.54","17.98","24.96699",".33275",".06",".06","2941921","73.84","53.01",".94","-12.59","1.68","5335","93258","7442","611.71"
"Affirm","AFRM","3036.97","-8.91","0","NSDQ","6","Business Services","Business - Services","-2.8","-3.69","-2.43","","","","","","1.2","2.05","20230511","-31.74","55.89","1516.78601","1349.29","-728.99299","-724.831","-55.05","-55.05","66.72299","2.00507","11.4","11.87","17428682","48.15","8.91","3.29","6.83","0","3290.90209","277.32901","4078.208","293.99"
"AGCO","AGCO","9336.29","15.21",".77","NYSE","12","Industrial Products","Manufacturing - Farm Equipment","13.89","13.53","11.84","10.04","9.22","8.98",".87","7.75","2.4",".74","20230502","25.75","6.93","14054.05078","12651.4","1389.80004","1120.19995","7.03","7.36","24.572",".32576","1.4",".62","696997","148.65","90.25","1.36","-10.06",".96","5739.2998","4088","1264.80004","74.85"
"Ageas","AGESY","7959.22","60.19","7.41","OTC","12","Finance","Insurance - Multi line","7.15","6.7","4.68","6.95","6.26","5.87",".77","4.04",".72",".63","20230329","8.04","","","16295.35","2605.18603","1619.66394","8.89","8.89","32.381",".47887",".05","","7964","52.19","34.16",".72","-5.81","3.11","4834.14599","105194.20312","4278.08984","189.73"
"","AGG","88731.75","","2.47","NYSE","12","Finance","Financial - Investment Funds","","","","","","","","","","","","","","","","","","","","","","","","7972657","107.19","93.63",".11","3.27","2.48","","","","885.9"
"Alamos Gold","AGI","4632.82","0",".85","NYSE","12","Basic Materials","Mining - Gold",".51",".41",".28","42","28.92","22.83","1.72","16.58","1.7","5.64","20230426","4.03","7.28","938","821.2","279.6","108.09999","4.52","13.25","0","0","2.42","1.14","3936243","11.76","6.48","1.05","16.32",".1","441","181.89999","0","393.95"
"Agilon Health","AGL","11852.38","-75","0","NYSE","12","Medical","Medical Services",".17","-.08","-.21","","","167.36","","","11.36","4.38","20230504","-9.33","","4271.67285","2708.21","-87.392","-101.16401","-3.93","-3.74","3.56609",".03698","2.71","2.71","2830230","28.69","15.39","1.09","77.76","0","1451.27404","535.091","38.48199","413.12"
"AGNC Investment","AGNC","5630.01","10.45","14.71","NSDQ","12","Finance","REIT and Equity Trust","1.73","2.21","3.07","3.13","4.43","5.66","","3.12",".9","3.8","20230501","26.82","7.16","1146.19494","1590","-1177","-1190","-80.24","184.15","1.1927",".01523",".24",".24","13846248","13.56","7.37","1.21","-5.41","1.44","8956","36663","95","575.08"
"Avangrid","AGR","14974.61","0","4.54","NYSE","12","Utilities","Utility - Electric Power","2.37","2.24","2.32","16.69","17.3","16.32","3.58","7.54",".74","1.89","20230425","4.45","4.34","8006.85986","7923","2229","1144","11.12","11.4","28.787",".40423",".73",".61","649443","51.63","37.53",".4","-9.89","1.76","3210","4416","8223","386.64"
"Anhui Conch Cement","AHCHY","18632.36","","8.83","OTC","12","Construction","Building Products - Concrete and Aggregates","","","","","","","","",".66","","","","","","25542.15","","6895.85693","","","3.27509",".03385","3.27","","20758","27.5","12.89",".5","1.68","1.55","16389","3509.92993","986.48699","1059.86"
"Adecco","AHEXY","5699.55","","2.23","OTC","12","Business Services","Outsourcing","1.91","1.54","1.85","9.84","10.95","8.86","1.44","3.95","1.42",".23","20230504","13.03","-3.92","23538.43945","24911.43","1185.46594","928.73297","1.45","2.3","40.838",".69028","1.1","","15969","23.72","13.26","1.34","3.23",".38","9137.08105","5591.33105","3254.708","336.85"
"Asahi Kasei","AHKSY","9555.4","","2.5","OTC","3","Basic Materials","Chemical - Diversified ","","","1.77","9.08","","","","3.5",".68",".45","20230329","7.25","3.42","","21925.41","3265.3479","1947","4.73","4.94","21.406",".27235","1.58",".86","84094","18.21","12.57",".72","-3.38",".34","11874.45996","8222.26464","3760.25097","696.97"
"American International Group","AIG","34901.27","14.29","2.7","NYSE","12","Finance","Insurance - Multi line","7.47","6.22","4.41","10.5","7.62","6.33",".76","4.17",".84",".62","20230502","7.7","2.86","48565.07031","56437","20255","15407","18.21","7.9","39.15499",".65099",".31",".31","7205200","64.55","47.16","1.15","-25.14","1.28","106116","345911","27179","737.25"
"Altra Industrial Motion","AIMC","4050.83","-2.67",".58","NSDQ","12","Industrial Products","Manufacturing - General Industrial ","3.7","3.4","3.17","18.9","18.23","16.75","1.52","12.92","2.02","2.08","20230427","10.93","15.92","1974","1945.5","338.6","240.8","6.53","11.08","33.838",".51143","2.22","1.32","1936445","61.99","32.57","2.14","3.73",".36","836.40002","377.29998","1024.09997","65.36"
"Air Liquide","AIQUY","84390.98","","1.3","OTC","12","Basic Materials","Chemical - Diversified ","1.42","1.34","1.28","","24.01","22.7","2.53","15.01","3.54","","","","","30608.83984","31543.94","7318.30419","4748.01904","","","30.90999",".44739",".88","","147427","32.61","22.22",".79","13.99",".42","8881.17675","9946.79492","12430","2617.59"
"Apartment Income REIT","AIRC","4997.93","0","5.37","NYSE","12","Finance","REIT and Equity Trust - Residential","2.52","2.42","2.4","13.97","13.85","13.29","","4","2.17","6.46","20230501","39.95","","864.96697","773.72","1441.37695","1090.432","116.89","116.89","58.88199","1.39996",".33",".33","954360","55.04","32.8",".93","-2.3","1.8","301.40499","911.29101","3244.14306","149.1"
"Air China","AIRYY","14013.69","","0","OTC","12","Transportation","Transportation - Airline",".65","-.27","-6.46","","","26.61","","18.85","2.44","1.42","20230330","-65.19","-21.04","16646.8457","12183.22","-608.32398","-2531.22413","-53.14","-53.14","80.44899","4.11487",".3","","69","19.67","12.39",".67","-2.7","0","4711.49316","14201.05957","20067.39843","810.04"
"Applied Industrial Technologies","AIT","5129.55","19.88","1.05","NYSE","6","Industrial Products","Manufacturing - General Industrial ","8.69","8.34","6.24","17.06","15.93","15.28","","16.26","3.96","1.23","20230427","25.58","4.01","4347.65478","3810.68","413.414","356.57501","7.32","7.32","32.504",".48156","3.18","1.82","273270","146.69","89.72","1.19","5.44","1.4","1359.52905","499.62701","649.15002","38.6"
"Assurant","AIZ","5967.79","24.71","2.48","NYSE","12","Finance","Insurance - Multi line","13.22","11.32","10.52","10.31","9.96","8.53",".84","7.53","1.41",".59","20230502","13.52","7.98","10657.15039","10193","640.20001","458.20001","2.68","5.8","33.49599",".50367",".42",".42","488230","193.12","104.92",".54","-9.83","2.8","11189.5996","26398.5996","2129.8999","52.92"
"Arthur J. Gallagher & Co.","AJG","39377.37","2.67","1.18","NYSE","12","Finance","Insurance - Brokerage","9.77","8.71","7.73","23.89","21.31","19","1.91","17.31","4.26","4.62","20230427","18.64","5.57","9468.52636","8550.6","2183.5","1583.90002","13.08","19.77","37.706",".60529","1.04","1.04","1229096","201.26","149.05",".69","-1.53","2.2","22834.5996","21888","5562.7998","212.09"
"Ajinomoto","AJINY","18435.07","",".84","OTC","3","Consumer Staples","Food - Miscellaneous","","","","35.76","","","","14.58","3.06","1.83","20230510","8.17","","","10238.59","1759.29895","1169.81604","5.08","5.08","24.29",".32082","1.91","1.12","10393","34.33","21.94",".07","12.08",".29","5174.6289","2889.21606","2414.40087","537"
"Aerojet Rocketdyne Holdings","AJRD","4485.64","-48.33","0","NYSE","12","Aerospace","Aerospace - Defense Equipment","2.21","1.99","1.68","39.71","27.99","25.2","","25.76","8.27","2","20230502","21","3.5","2314.73999","2237.6","185.69999","126.9","3.31","5.14","34.75999",".53279","1.43","1.43","1332967","56.36","37.03",".57","-.59","0","1069","747.09997","288.39999","80.68"
"Akamai Technologies","AKAM","11884.79","7.87","0","NSDQ","12","Computer and Technology","Internet - Services","5.89","5.46","5.26","14.16","13.92","12.92","1.39","9.47","2.74","3.29","20230502","15.12","8.15","3746.24511","3616.65","1266.24804","669.09899","13.15","23.77","34.388",".52411","2.41","2.41","2124274","121.92","70.75",".78","-9.79","0","1969.56201","818.86798","2285.25805","156.28"
"AkzoNobel","AKZOY","12278.01","-3.23",".85","OTC","12","Basic Materials","Chemical - Diversified ","1.6","1.24","1.02","27.9","19.4","14.99","5.39","15.6","2.73","1.08","20230420","8.21","-.76","11204.2998","11429.33","1152.63793","764.91302","3.32","4.01","42.284",".73262","1.09",".77","48526","30.06","18.06","1.15","7.53",".2","6578.67822","6053.98583","3510.59497","511.8"
"Air Lease","AL","4065.37","15.24","2.18","NYSE","12","Transportation","Transportation - Equipment and Leasing","6.51","5.05","-1.43","8.29","7.26","5.63",".32","4.19",".61","1.75","20230504","8.1","8","2638.02294","2317.3","1474.47094","407.41299","-4.64","22.72","73.717","2.80474","1.12","1.12","713912","45.53","30.11","1.79","-4.69",".8","780.01702","696.89898","18641.06054","111.01"
"Albemarle","ALB","25546.55","1.89",".73","NYSE","12","Basic Materials","Chemical - Diversified ","27.38","30.2","21.8","9.92","7.21","7.96",".45","8.84","3.12","3.49","20230503","37.63","8.75","11653.82617","7320.1","2857.25805","2556.41699","36.75","35.33","28.187",".3925","1.89","1.13","1723390","325.38","187.76","1.57",".43","1.6","5186.91699","2741.01489","3214.97192","117.3"
"Alcon","ALC","33075.97","0","0","NYSE","12","Medical","Medical - Instruments","3","2.58","2.24","30.26","26.14","22.5","1.75","14.91","1.68","3.79","20230509","5.66","8.68","9219.05468","8717","1708","597","3.84","12.8","18.75099",".23077","1.87","1.11","1303842","81.55","56.51",".89","-1.55","0","5193","2782","4541","490.09"
"Allete","ALE","3624.11","-18.92","4.28","NYSE","12","Utilities","Utility - Electric Power","4.02","3.7","3.6","18.62","17.11","15.75","2.35","8.38","1.08","2.31","20230504","5.73",".76","1595.06005","1570.7","418","175.3","12.05","12.05","32.98699",".49224","1",".37","334410","67.74","48.18",".72","-1.88","2.71","718","716.20001","1648.19995","57.25"
