Company Name,Ticker,Market Cap (mil),Last EPS Surprise (%),Div. Yield %,Exchange,Month of Fiscal Yr End,Sector,Industry,F2 Consensus Est.,F1 Consensus Est.,F0 Consensus Est.,P/E (Trailing 12 Months),P/E (F1),P/E (F2),PEG Ratio,Price/Cash Flow,Price/Book,Price/Sales,Next EPS Report Date  (yyyymmdd),Current ROE (TTM),5 Yr Historical Sales Growth,F(1) Consensus Sales Est. ($mil),Annual Sales ($mil),EBITDA ($mil),EBIT ($mil),Net Margin %,Operating Margin 12 Mo %,Debt/Total Capital,Debt/Equity Ratio,Current Ratio,Quick Ratio,Avg Volume,52 Week High,52 Week Low,Beta,% Price Change (YTD),Dividend ,Current Assets  ($mil),Current Liabilities ($mil),Long Term Debt ($mil),Shares Outstanding (mil)
"Agilent Technologies","A","39020.84","4.58",".68","NYSE","10","Computer and Technology","Electronics - Testing Equipment","6.22","5.68","5.07","24.57","23.24","21.2","1.94","20.76","6.96","5.63","20230523","30.35","8.78","7070.53222","6848","1905","1588","19.09","23.13","32.762",".48725","2.11","1.47","1715953","159.06","112.71","1.04","-11.82",".9","3778","1861","2733","295.7"
"Alcoa","AA","7148.47","17.65","1","NYSE","12","Industrial Products","Metal Products - Distribution","7.2","2.35","4.63","8.53","17.04","5.57","5.72","4.71","1.08",".57","20230419","13.17","-.7","10515.02539","12451","1425","808","-.82","7.15","21.513",".27409","1.75",".94","6001812","95.06","33.66","2.45","-11.85",".4","5250","3004","1806","178.35"
"AIA","AAGIY","120520.27","",".87","OTC","12","Finance","Insurance - Life Insurance","2.83","2.39","2.19","","17.28","14.6","","16.82","2.98","","","","","","19110","8825","8825","","","19.96699",".24948",".06","","300912","47.82","29.58",".53","-7.02",".36","11568","239812","9588","2917.46"
"American Airlines","AAL","8937.63","2.63","0","NSDQ","12","Transportation","Transportation - Airline","2.73","2.16",".48","45.73","6.36","5.03","","3.4","",".18","20230420","-4.22","-7.77","53565.54296","48971","4446","2148",".26",".67","","-5.58528",".71",".6","21791912","20.22","11.86","1.55","7.86","0","15269","21496","32389","651.43"
"AAON","AAON","4880.14","29.09",".26","NSDQ","12","Construction","Building Products - Air Conditioner and Heating","3.28","2.68","1.7","49.32","34.05","27.82","","35.73","8.66","5.49","20230504","19.54","12.61","","888.79","160.00599","124.53299","11.29","11.29","11.23999",".12663","2.4","1.03","426085","93.92","47.93",".78","21.15",".24","349.11599","145.567","71.00399","53.48"
"Advance Auto Parts","AAP","6569.34","19.5","5.41","NYSE","12","Retail-Wholesale","Automotive - Retail and Wholesale - Parts","11.57","10.75","12.57","8.51","10.31","9.57",".9","6.2","2.49",".59","20230522","28.53","4.39","11433.45996","11154.72","983.54699","699.747","4.5","7.1","30.732",".44367","1.13",".21","1996279","228.02","110.83","1.12","-24.62","6","6046.85205","5370.38916","1188.28295","59.27"
"Apple","AAPL","2535467","-2.59",".57","NSDQ","9","Computer and Technology","Computer - Mini computers","6.68","6.04","6.11","27.21","26.52","24","2.12","22.99","44.7","6.54","20230427","163.45","11.84","390018.5","394328","130207","119103","24.56","24.56","63.719","1.75625",".94",".85","67214032","178.96","125.02","1.3","23.34",".92","135405","153982","98959","15821.95"
"AllianceBernstein","AB","3811.2","20.69","8.36","NYSE","12","Finance","Financial - Investment Management","2.88","2.77","2.82","11.35","12.09","11.63","","12.72","1.84",".94","20230505","17.94","6.89","3434.10009","4054.29","305.50399","305.50399","6.76","8.99","0","0","","","322386","47.99","32.31","1.35","-2.56","2.8","0","0","0","113.8"
"ABB","ABB","64345.4","53.85","1.62","NYSE","12","Industrial Products","Manufacturing - Electronics","1.78","1.62","1.22","25","20.17","18.42","3.25","19.32","4.88","2.19","20230420","19.52","-4.25","30137.75781","29446","4338","3524","8.41","8.55","28.058",".39","1.18",".82","1583515","35.33","24.3","1.1","7.52",".53","19570","16529","5143","1964.74"
"AbbVie","ABBV","278769.72","1.69","3.75","NYSE","12","Medical","Large Cap Pharmaceuticals","11","10.97","13.73","11.46","14.4","14.37","3.6","8.45","16.17","4.8","20230505","154.52","18.5","52327.40234","58054","23988","15521","20.39","42.37","77.37999","3.42077",".96",".84","7467481","174.96","134.21",".62","-2.22","5.92","28463","29538","59135","1764.14"
