Company Name,Ticker,Market Cap (mil),Last EPS Surprise (%),Div. Yield %,Exchange,Month of Fiscal Yr End,Sector,Industry,F2 Consensus Est.,F1 Consensus Est.,F0 Consensus Est.,P/E (Trailing 12 Months),P/E (F1),P/E (F2),PEG Ratio,Price/Cash Flow,Price/Book,Price/Sales,Next EPS Report Date  (yyyymmdd),Current ROE (TTM),5 Yr Historical Sales Growth,F(1) Consensus Sales Est. ($mil),Annual Sales ($mil),EBITDA ($mil),EBIT ($mil),Net Margin %,Operating Margin 12 Mo %,Debt/Total Capital,Debt/Equity Ratio,Current Ratio,Quick Ratio,Avg Volume,52 Week High,52 Week Low,Beta,% Price Change (YTD),Dividend ,Current Assets  ($mil),Current Liabilities ($mil),Long Term Debt ($mil),Shares Outstanding (mil)
"Air Canada","ACDVF","5849.54","-290","0","OTC","12","Transportation","Transportation - Airline","1.72","1.15","-2.56","","14.19","9.49","","11.05","",".41","20230801","","-14.7","","12734.76","788.42999","-473.05802","-3.96","-3.44","","-9.67396","1.03","1","24798","17.63","12.03","1.93","13.18","0","7434.31787","7194.32812","11571.08007","358.43"
"Agri Bank China","ACGBY","139223.25","","6.47","OTC","12","Finance","Banks - Foreign","","","","3.85","","","","3.44",".36",".77","20230519","9.95","12.07","","178942.09","58251.48046","55165.27343","21.36","21.36","41.762",".71709","1.18","","9561","10.36","7.08",".25","17.69",".64","4066401","3517008","233686.79687","13999.32"
"Arch Capital Group","ACGL","28043.43","14.57","0","NSDQ","12","Finance","Insurance - Property and Casualty","6.89","6.22","4.07","13.72","12.11","10.92","1.21","14.02","2.13","2.62","20230726","17.51","14.74","12500.44042","9614.81","1724.95898","1618.75903","18.43","19.52","17.655",".22708",".57",".56","1899663","77.31","41.67",".72","19.94","0","17041.48046","30632.8496","2820.45092","372.42"
"Acadia Healthcare","ACHC","6621.89","5.63","0","NSDQ","12","Medical","Medical - Hospital","3.56","3.23","3.08","23.28","22.3","20.19","1.6","16.51","2.33","2.45","20230726","10.22","-5.42","2845.73095","2610.4","564.93298","443.90301","10.32","10.47","34.41799",".49294","1.42","1.3","676108","89.06","63.69","1.31","-12.6","0","506.125","388.32598","1364.54101","92.04"
"Albertsons Companies","ACI","11639.76","14.49","2.37","NYSE","2","Consumer Staples","Consumer Products - Staples","2.89","2.8","3.28","6","7.24","7.02","1.46","2.96","6.75",".15","20230725","68.28","6.15","78922.78125","77649.7","4147.20019","2340.10009","1.95","2.39","83.02899","4.86397",".74",".18","3872005","30.96","19.2",".57","-2.22",".48","6270.3999","8428.7998","7834.3999","573.95"
"Axcelis Technologies","ACLS","4727.41","14.4","0","NSDQ","12","Computer and Technology","Electronics - Manufacturing Machinery","7.41","6.44","5.2","25.49","22.44","19.52","","24.38","6.74","4.87","20230802","29.43","21.3","1033.09997","920","222.06799","210.46099","19.49","19.49","6.0043",".06387","3.49","2.56","538552","144.52","47.95","1.71","82.11","0","877.64501","248.132","45.185","32.71"
"AECOM","ACM","11093.49","4.55",".9","NYSE","9","Construction","Engineering - R and D Services","4.38","3.69","3.42","22.61","21.65","18.21","1.96","16.74","4.05",".82","20230814","18.72","-10.97","13762.21972","13148.18","831.84197","660.95599","2.75","3.67","44.02",".78636","1.09","1.08","726825","91.11","61.26","1.29","-6.03",".72","5822.81005","5404.17089","2156.68603","139"
"Accenture","ACN","181650.25","8.03","1.56","NYSE","8","Business Services","Consulting Services","12.52","11.57","10.69","25.76","24.84","22.96","2.61","20.22","7.43","2.88","20230622","30.73","10.04","64120.23828","61594.3","11331.70312","9243.4873","11","11.3",".18429",".00184","1.29","1.23","2156575","320.78","246.17","1.25","7.74","4.48","21610.86914","17523.5","45.893","631.87"
"Enact Holdings","ACT","3965.19","36.71","2.28","NSDQ","12","Finance","Insurance - Multi line","3.53","3.55","4.36","5.56","6.92","6.96","","5.55",".93","3.58","20230807","17.33","","1161.5","1095.05","961.57702","949.92102","64.67","64.99","14.751",".17303","1.02",".82","267428","27.66","20.92",".62","1.74",".56","594.40399","721.72497","742.83001","161.58"
"","ACWI","17355.59","","1.64","NSDQ","12","Finance","Financial - Investment Funds","","","","","","","","","","","","","","","","","","","","","","","","3206333","93.3","77.52",".93","9.46","1.52","","","","186.8"
"Adobe","ADBE","165329.23","3.83","0","NSDQ","11","Computer and Technology","Computer - Software","17.34","15.41","13.62","25.47","23.39","20.78","1.75","27.84","11.64","9.19","20230615","36.53","18.54","19214.45703","17606","6976","6120","26.32","28.73","20.35199",".25552","1.12","1.11","3096586","451.02","275.2","1.31","7.1","0","8996","8128","3629","458.7"
"Agree Realty","ADC","6156.69","2.08","4.41","NYSE","12","Finance","REIT and Equity Trust - Retail","3.73","3.94","3.86","17.07","16.78","17.72","3.19","18.09","1.29","13.44","20230801","4.04","31.25","530.42498","429.81","387.44198","216.47","34.48","38.01","29.798",".44051",".72",".88","607809","80.35","63.49",".46","-6.87","2.92","93.60399","106.067","1940.01794","93.2"
"Adidas","ADDYY","34061.73","-66.67",".27","OTC","12","Consumer Discretionary","Shoes and Retail Apparel ","2.07","-1.49",".62","","","42.86","","11.08","5.19","1.46","20230803","-1.44","-1.69","22822.48632","23721.71","3731.49707","2372.11499",".42","-.41","23.09499",".3003","1.25","","78889","101.88","45.5","1.03","31.22",".24","16497.15039","10606.49023","2917.5249","383.19"
"Analog Devices","ADI","97255.1","6.18","1.79","NSDQ","10","Computer and Technology","Semiconductor - Analog and Mixed","10.9","10.65","9.43","18.49","18.05","17.63","1.47","13.41","2.67","7.73","20230524","14.69","14.86","12693.30371","12013.95","5596.65576","3299.15698","27.27","42.85","15.18999",".17911","2.12","1.45","2726932","197.22","136.73","1.15","17.21","3.44","4937.99218","2442.65502","6548.625","505.85"
"Archer Daniels Midland","ADM","39643.97","22.22","2.47","NYSE","12","Consumer Staples","Agriculture - Operations","6.18","6.83","7.54","9.06","10.65","11.78","1.67","7.34","1.59",".39","20230725","18.39","11.82","97983.32031","101848","6657","5629","4.36","4.39","24.42499",".31109","1.51",".85","2900633","97.67","71.7",".8","-21.61","1.8","35410","24191","7735","544.64"
"Adient","ADNT","3409.26","-21.95","0","NYSE","9","Auto-Tires-Trucks","Automotive - Original Equipment","3.56","1.54",".1","28.35","23.32","10.1","","9.46","1.35",".23","20230804","4.99","-5.58","15013.6289","14121","619","269",".08",".83","50.52799",".9996","1.16",".92","915933","46.85","27.61","2.75","3.78","0","4163","3501","2564","94.7"
"Automatic Data Processing","ADP","88999.03","4.13","2.32","NSDQ","6","Business Services","Outsourcing","8.98","8.16","6.98","27.48","26.4","23.98","2.2","19.79","24.09","5.04","20230726","104.6","5.33","17934.86914","16498.3","5457.2998","3886","18.46","18.48","44.72299",".80908","1",".99","1602586","269.9","199.94",".81","-9.81","5","54804.89843","55158.69921","2987.10009","413.12"
"Ahold","ADRNY","32477.44","8.82","3.06","OTC","12","Consumer Staples","Consumer Products - Staples","2.95","2.79","2.57","12.17","11.91","11.26","2.51","4.95","2",".35","20230809","16.68","6.2","98683.46875","91662.26","7889.35693","4024.75195","2.88","2.91","22.71199",".29386",".72",".41","112462","35.27","24.88",".46","15.78","1.02","11397.83984","15890.40039","4769.64697","977.35"
"Andritz","ADRZY","5947.5","","2.56","OTC","12","Industrial Products","Industrial Services","","",".88","","","","","8.91","3.21",".77","","22.23","","8376.42968","7646.89","849.82098","567.41497","5.35","5.33","35.268",".54483","1.17","","159","14.13","7.62",".77",".28",".29","6019.14013","4942.75488","1475.79895","520"
"Autodesk","ADSK","43996.15","2.76","0","NSDQ","1","Computer and Technology","Computer - Software","8.32","7.21","6.59","30.85","28.42","24.62","1.18","41.21","38.6","8.79","20230525","105.43","19.33","5404.4038","5005","1096","946","16.44","18.28","66.579","1.99213",".84",".84","1099554","234.04","164.31","1.53","9.62","0","3341","4000","2281","214.78"
"ADT","ADT","5575.58","-7.69","2.31","NYSE","12","Industrial Products","Security and Safety Services",".74",".72",".51","15.92","8.4","8.18","","2.89","1.68",".86","20230803","8.01","6.96","6612.20019","6395","2269.64599","502.68798",".48","4.13","73.88099","2.82863",".81",".49","4093153","9.86","5.13","1.69","-33.3",".14","1721.99597","2661.10302","8956.67089","921.58"
"Adyen","ADYEY","47617.59","","0","OTC","12","Business Services","Financial Transaction Services",".37",".28",".24","","54.86","41.51","2.11","140.97","27.03","","","","","2128.1499","6192.22","412.54501","379.91299","","","","","","","367131","19.2","12.04","1.83","11.3","0","4268.87109","3118.42407","0","3100.1"
"Ameren","AEE","21891.13","6.38","3.02","NYSE","12","Utilities","Utility - Electric Power","4.67","4.36","4.07","19.99","19.13","17.84","2.75","8.51","2.04","2.69","20230803","10.41","4.64","8022.81689","7957","3200","1741","13.34","13.34","56.91299","1.32088",".75",".59","1208844","97.35","74.94",".43","-6.25","2.52","2668","3366","13685","262.61"
